================================================================================
HMM 状態別デコード分析  k=7
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
  qotoy              80.0%    100%    100%      0%
  tolos              80.0%    100%    100%      0%
  ytapy              80.0%    100%    100%      0%
  otoltopar          77.8%    100%     86%      0%
  alfo               75.0%    100%    100%      0%
  alog               75.0%    100%    100%      0%
  aloy               75.0%    100%    100%      0%
  dlay               75.0%    100%    100%      0%
  dlls               75.0%    100%    100%      0%
  dlos               75.0%    100%    100%      0%
  dolo               75.0%    100%    100%      0%
  doly               75.0%    100%    100%      0%
  koltoldy           75.0%    100%     83%      0%

────────────────────────────────────────────────────────────────────────────────
  State 5: S5
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  iiin              100.0%    100%    100%    100%
  iin               100.0%    100%    100%    100%
  iir               100.0%    100%    100%    100%
  in                100.0%    100%    N/A    100%
  lr                100.0%    100%    N/A    100%
  rl                100.0%    100%    N/A    100%
  rn                100.0%    100%    N/A    100%
  diiiin             83.3%      0%    100%    100%
  liiram             83.3%    100%     75%    100%
  oiiiin             83.3%      0%    100%    100%
  aiiin              80.0%      0%    100%    100%
  ariin              80.0%      0%    100%    100%
  diiin              80.0%      0%    100%    100%
  oiiin              80.0%      0%    100%    100%
  oriid              80.0%      0%    100%    100%
  oriim              80.0%      0%    100%    100%
  oriin              80.0%      0%    100%    100%
  siiin              80.0%      0%    100%    100%
  aiil               75.0%      0%    100%    100%
  aiim               75.0%      0%    100%    100%
  aiin               75.0%      0%    100%    100%
  aiip               75.0%      0%    100%    100%
  aiir               75.0%      0%    100%    100%
  aiis               75.0%      0%    100%    100%
  diil               75.0%      0%    100%    100%
  diir               75.0%      0%    100%    100%
  kiin               75.0%      0%    100%    100%
  oiin               75.0%      0%    100%    100%
  oiir               75.0%      0%    100%    100%
  yiin               75.0%      0%    100%    100%

────────────────────────────────────────────────────────────────────────────────
  State 6: S6
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  cth                66.7%      0%    100%    100%
  shckhh             66.7%      0%     75%    100%
  chckhhhy           62.5%      0%     83%      0%
  ckhcfhhy           62.5%      0%     83%      0%
  chckh              60.0%      0%     67%    100%
  chcth              60.0%      0%     67%    100%
  ckhhy              60.0%      0%    100%      0%
  cphhy              60.0%      0%    100%      0%
  cthhy              60.0%      0%    100%      0%
  ithhy              60.0%      0%    100%      0%
  ockhh              60.0%      0%     67%    100%
  shkhy              60.0%      0%    100%      0%
  chcfhhy            57.1%      0%     80%      0%
  chckhhy            57.1%      0%     80%      0%
  chcphhy            57.1%      0%     80%      0%
  chcthhy            57.1%      0%     80%      0%
  shckhhd            57.1%      0%     80%      0%
  shckhhy            57.1%      0%     80%      0%
  shcphhy            57.1%      0%     80%      0%
  shcthhy            57.1%      0%     80%      0%
  cckhhy             50.0%      0%     75%      0%
  cfhs               50.0%      0%    100%      0%
  cfhy               50.0%      0%    100%      0%
  ch                 50.0%      0%    N/A    100%
  chcfhy             50.0%      0%     75%      0%
  chckhd             50.0%      0%     75%      0%
  chckhs             50.0%      0%     75%      0%
  chckhy             50.0%      0%     75%      0%
  chcphhdy           50.0%      0%     67%      0%
  chcphy             50.0%      0%     75%      0%


================================================================================
HMM 状態別デコード分析  k=8
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
================================================================================

────────────────────────────────────────────────────────────────────────────────
  State 0: S0
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  olqo               75.0%    100%    100%      0%
  oqol               75.0%    100%    100%      0%
  qolp               75.0%    100%    100%      0%
  qoos               75.0%    100%    100%      0%
  yqor               75.0%    100%    100%      0%
  poalosy            71.4%    100%     80%      0%
  alf                66.7%    100%    100%      0%
  aloldy             66.7%    100%     75%      0%
  aol                66.7%    100%    100%      0%
  dlocta             66.7%    100%     75%      0%
  dolody             66.7%    100%     75%      0%
  lod                66.7%    100%    100%      0%
  olk                66.7%    100%    100%      0%
  ololdy             66.7%    100%     75%      0%
  oor                66.7%    100%    100%      0%
  oqo                66.7%    100%    100%      0%
  oyd                66.7%    100%    100%      0%
  pyoaly             66.7%    100%     75%      0%
  qod                66.7%    100%    100%      0%
  qof                66.7%    100%    100%      0%
  qok                66.7%    100%    100%      0%
  qol                66.7%    100%    100%      0%
  qolody             66.7%    100%     75%      0%
  qooldy             66.7%    100%     75%      0%
  qop                66.7%    100%    100%      0%
  qor                66.7%    100%    100%      0%
  qos                66.7%    100%    100%      0%
  qot                66.7%    100%    100%      0%
  qotlolkal          66.7%    100%     71%      0%
  roloty             66.7%    100%     75%      0%

────────────────────────────────────────────────────────────────────────────────
  State 1: S1
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  aiy                66.7%    100%      0%    100%
  amy                66.7%    100%      0%    100%
  day                66.7%      0%    100%    100%
  dayty              60.0%      0%     67%    100%
  ag                 50.0%    100%    N/A      0%
  aiioly             50.0%    100%     25%    100%
  ainaly             50.0%    100%     25%    100%
  ainy               50.0%    100%      0%    100%
  aiodam             50.0%    100%     50%      0%
  airody             50.0%    100%     25%    100%
  airy               50.0%    100%      0%    100%
  al                 50.0%    100%    N/A      0%
  am                 50.0%    100%    N/A      0%
  amam               50.0%    100%     50%      0%
  aman               50.0%    100%     50%      0%
  amod               50.0%    100%     50%      0%
  amom               50.0%    100%     50%      0%
  an                 50.0%    100%    N/A      0%
  ar                 50.0%    100%    N/A      0%
  araydy             50.0%      0%     50%    100%
  as                 50.0%    100%    N/A      0%
  co                 50.0%      0%    N/A    100%
  cy                 50.0%      0%    N/A    100%
  da                 50.0%      0%    N/A    100%
  daar               50.0%      0%    100%      0%
  dady               50.0%      0%     50%    100%
  daky               50.0%      0%     50%    100%
  dala               50.0%      0%     50%    100%
  dalalody           50.0%      0%     50%    100%
  dalaly             50.0%      0%     50%    100%

────────────────────────────────────────────────────────────────────────────────
  State 2: S2
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ch                 50.0%      0%    N/A    100%
  chckhhhy           50.0%      0%     67%      0%
  chhy               50.0%      0%    100%      0%
